dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
derby-10.5.1.1,csbboost,standard,SVM,26,63,51,401,0.3132530120481928,0.29213483146067415,0.33766233766233766,0.8642241379310345,0.21072088724584104,0.7328145991939096,0.2653300147170908
derby-10.5.1.1,csbboost,standard,Naive Bayes Gaussiano,34,39,43,425,0.4533333333333333,0.4657534246575342,0.44155844155844154,0.915948275862069,0.15157116451016636,0.7829573443797583,0.49596406544839206
derby-10.5.1.1,csbboost,standard,Árbol de Decisión,46,96,31,368,0.4200913242009132,0.323943661971831,0.5974025974025974,0.7931034482758621,0.23475046210720887,0.6624496193461711,0.3928134319012741
derby-10.5.1.1,csbboost,robust,SVM,53,151,24,313,0.37722419928825623,0.25980392156862747,0.6883116883116883,0.6745689655172413,0.3234750462107209,0.7342140618002687,0.24887245430733698
derby-10.5.1.1,csbboost,robust,Naive Bayes Gaussiano,2,5,75,459,0.047619047619047616,0.2857142857142857,0.025974025974025976,0.9892241379310345,0.1478743068391867,0.7756101656963726,0.33942642597047973
derby-10.5.1.1,csbboost,robust,Árbol de Decisión,46,96,31,368,0.4200913242009132,0.323943661971831,0.5974025974025974,0.7931034482758621,0.23475046210720887,0.6624496193461711,0.3928134319012741
derby-10.5.1.1,hcbou,standard,SVM,72,241,5,223,0.36923076923076925,0.23003194888178913,0.935064935064935,0.48060344827586204,0.45471349353049906,0.7574731303179579,0.2664552362948311
derby-10.5.1.1,hcbou,standard,Naive Bayes Gaussiano,35,42,42,422,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.9094827586206896,0.15526802218114602,0.7688647559337214,0.4853980757665449
derby-10.5.1.1,hcbou,standard,Árbol de Decisión,59,142,18,322,0.4244604316546763,0.2935323383084577,0.7662337662337663,0.6939655172413793,0.2957486136783734,0.7430586654724588,0.34924829449940364
derby-10.5.1.1,hcbou,robust,SVM,75,319,2,145,0.3184713375796178,0.19035532994923857,0.974025974025974,0.3125,0.5933456561922366,0.7247676892073444,0.22067315727744172
derby-10.5.1.1,hcbou,robust,Naive Bayes Gaussiano,3,4,74,460,0.07142857142857142,0.42857142857142855,0.03896103896103896,0.9913793103448276,0.14417744916820702,0.7956224809673085,0.37504116828166995
derby-10.5.1.1,hcbou,robust,Árbol de Decisión,53,108,24,356,0.44537815126050423,0.32919254658385094,0.6883116883116883,0.7672413793103449,0.24399260628465805,0.7610977384684282,0.38867022084426217
