route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
fs,smote,activemq-5.0.0,robust,svm,47,256,62,12,59,318,377,0.1962864721485411,0.8037135278514589,0.7966101694915254,0.1949685534591195,0.43119266055045874,0.7966101694915254,0.7966101694915254,0.8050314465408805,0.5595238095238095,0.8037135278514589,0.9694385964912282
nofs,smote,activemq-5.0.0,robust,decision_tree,44,270,48,15,59,318,377,0.16710875331564987,0.8328912466843501,0.7457627118644068,0.1509433962264151,0.4782608695652174,0.7457627118644068,0.7457627118644068,0.8490566037735849,0.5827814569536424,0.8328912466843501,0.8977192982456141
nofs,smote,activemq-5.0.0,robust,naive_bayes_gaussian,57,0,318,2,59,318,377,0.8488063660477454,0.15119363395225463,0.9661016949152542,1.0,0.152,0.9661016949152542,0.9661016949152542,0.0,0.2626728110599078,0.15119363395225463,0.9307017543859649
nofs,smote,activemq-5.0.0,robust,svm,59,50,268,0,59,318,377,0.7108753315649867,0.2891246684350133,1.0,0.8427672955974843,0.18042813455657492,1.0,1.0,0.15723270440251572,0.30569948186528495,0.2891246684350133,1.0
fs,smote,activemq-5.0.0,standard,decision_tree,39,271,47,20,59,318,377,0.17771883289124668,0.8222811671087533,0.6610169491525424,0.14779874213836477,0.45348837209302323,0.6610169491525424,0.6610169491525424,0.8522012578616353,0.5379310344827586,0.8222811671087533,0.913719298245614
fs,smote,activemq-5.0.0,standard,naive_bayes_gaussian,39,282,36,20,59,318,377,0.14854111405835543,0.8514588859416445,0.6610169491525424,0.11320754716981132,0.52,0.6610169491525424,0.6610169491525424,0.8867924528301887,0.582089552238806,0.8514588859416445,0.6337368421052632
fs,smote,activemq-5.0.0,standard,svm,41,263,55,18,59,318,377,0.19363395225464192,0.8063660477453581,0.6949152542372882,0.17295597484276728,0.4270833333333333,0.6949152542372882,0.6949152542372882,0.8270440251572327,0.5290322580645161,0.8063660477453581,0.9508421052631579
nofs,smote,activemq-5.0.0,standard,decision_tree,44,270,48,15,59,318,377,0.16710875331564987,0.8328912466843501,0.7457627118644068,0.1509433962264151,0.4782608695652174,0.7457627118644068,0.7457627118644068,0.8490566037735849,0.5827814569536424,0.8328912466843501,0.8990526315789475
nofs,smote,activemq-5.0.0,standard,naive_bayes_gaussian,35,283,35,24,59,318,377,0.15649867374005305,0.843501326259947,0.5932203389830508,0.11006289308176101,0.5,0.5932203389830508,0.5932203389830508,0.889937106918239,0.5426356589147286,0.843501326259947,0.5127894736842105
nofs,smote,activemq-5.0.0,standard,svm,59,46,272,0,59,318,377,0.7214854111405835,0.27851458885941643,1.0,0.8553459119496856,0.1782477341389728,1.0,1.0,0.14465408805031446,0.30256410256410254,0.27851458885941643,1.0
fs,unbalanced,activemq-5.0.0,robust,decision_tree,35,296,22,24,59,318,377,0.1220159151193634,0.8779840848806366,0.5932203389830508,0.06918238993710692,0.6140350877192983,0.5932203389830508,0.5932203389830508,0.9308176100628931,0.603448275862069,0.8779840848806366,0.5802536231884059
fs,unbalanced,activemq-5.0.0,robust,naive_bayes_gaussian,31,301,17,28,59,318,377,0.11936339522546419,0.8806366047745358,0.5254237288135594,0.05345911949685535,0.6458333333333334,0.5254237288135594,0.5254237288135594,0.9465408805031447,0.5794392523364486,0.8806366047745358,0.5501811594202899
fs,unbalanced,activemq-5.0.0,robust,svm,29,267,51,30,59,318,377,0.21485411140583555,0.7851458885941645,0.4915254237288136,0.16037735849056603,0.3625,0.4915254237288136,0.4915254237288136,0.839622641509434,0.4172661870503597,0.7851458885941645,0.6190217391304349
nofs,unbalanced,activemq-5.0.0,robust,decision_tree,40,293,25,19,59,318,377,0.11671087533156499,0.883289124668435,0.6779661016949152,0.07861635220125786,0.6153846153846154,0.6779661016949152,0.6779661016949152,0.9213836477987422,0.6451612903225806,0.883289124668435,0.618659420289855
nofs,unbalanced,activemq-5.0.0,robust,naive_bayes_gaussian,57,0,318,2,59,318,377,0.8488063660477454,0.15119363395225463,0.9661016949152542,1.0,0.152,0.9661016949152542,0.9661016949152542,0.0,0.2626728110599078,0.15119363395225463,0.9871376811594205
nofs,unbalanced,activemq-5.0.0,robust,svm,27,284,34,32,59,318,377,0.17506631299734748,0.8249336870026526,0.4576271186440678,0.1069182389937107,0.4426229508196721,0.4576271186440678,0.4576271186440678,0.8930817610062893,0.45,0.8249336870026526,0.9782608695652174
